+-----------------------+-------------------+-----------+-------+
| Player                | 'Equip'           | 'Current' | 'Max' |
+-----------------------+-------------------+-----------+-------+
| brocaleb              | Giant Gauntlet    | '27'      | 27    |
| brocaleb              | Rocket Spear      | '8'       | 27    |
| brocaleb              | Spiky Ball        | '27'      | 27    |
| brocaleb              | Frozen Arrow      | '8'       | 27    |
| brocaleb              | Fireball          | '14'      | 27    |
| brocaleb              | Magic Mirror      | '20'      | 27    |
| brocaleb              | Barbarian Puppet  | '17'      | 18    |
| brocaleb              | Rage Vial         | '18'      | 18    |
| brocaleb              | Archer Puppet     | '17'      | 18    |
| brocaleb              | Invisibility Vial | '18'      | 18    |
| brocaleb              | Eternal Tome      | '18'      | 18    |
| brocaleb              | Life Gem          | '17'      | 18    |
| brocaleb              | Seeking Shield    | '18'      | 18    |
| brocaleb              | Royal Gem         | '18'      | 18    |
| brocaleb              | Earthquake Boots  | '17'      | 18    |
| brocaleb              | Hog Rider Puppet  | '18'      | 18    |
| brocaleb              | Vampstache        | '18'      | 18    |
| brocaleb              | Haste Vial        | '18'      | 18    |
| brocaleb              | Giant Arrow       | '18'      | 18    |
| brocaleb              | Healer Puppet     | '18'      | 18    |
| brocaleb              | Rage Gem          | '18'      | 18    |
| brocaleb              | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| !!Aristocrat!!        | Giant Gauntlet    | '27'      | 27    |
| !!Aristocrat!!        | Rocket Spear      | '17'      | 27    |
| !!Aristocrat!!        | Spiky Ball        | '27'      | 27    |
| !!Aristocrat!!        | Frozen Arrow      | '27'      | 27    |
| !!Aristocrat!!        | Fireball          | '23'      | 27    |
| !!Aristocrat!!        | Magic Mirror      | '20'      | 27    |
| !!Aristocrat!!        | Barbarian Puppet  | '15'      | 18    |
| !!Aristocrat!!        | Rage Vial         | '18'      | 18    |
| !!Aristocrat!!        | Archer Puppet     | '15'      | 18    |
| !!Aristocrat!!        | Invisibility Vial | '18'      | 18    |
| !!Aristocrat!!        | Eternal Tome      | '18'      | 18    |
| !!Aristocrat!!        | Life Gem          | '18'      | 18    |
| !!Aristocrat!!        | Seeking Shield    | '18'      | 18    |
| !!Aristocrat!!        | Royal Gem         | '18'      | 18    |
| !!Aristocrat!!        | Earthquake Boots  | '14'      | 18    |
| !!Aristocrat!!        | Hog Rider Puppet  | '18'      | 18    |
| !!Aristocrat!!        | Vampstache        | '5'       | 18    |
| !!Aristocrat!!        | Haste Vial        | '18'      | 18    |
| !!Aristocrat!!        | Giant Arrow       | '18'      | 18    |
| !!Aristocrat!!        | Healer Puppet     | '18'      | 18    |
| !!Aristocrat!!        | Rage Gem          | '18'      | 18    |
| !!Aristocrat!!        | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| YokoEno               | Giant Gauntlet    | '27'      | 27    |
| YokoEno               | Rocket Spear      | '23'      | 27    |
| YokoEno               | Frozen Arrow      | '26'      | 27    |
| YokoEno               | Magic Mirror      | '27'      | 27    |
| YokoEno               | Barbarian Puppet  | '17'      | 18    |
| YokoEno               | Rage Vial         | '18'      | 18    |
| YokoEno               | Archer Puppet     | '18'      | 18    |
| YokoEno               | Invisibility Vial | '18'      | 18    |
| YokoEno               | Eternal Tome      | '18'      | 18    |
| YokoEno               | Life Gem          | '18'      | 18    |
| YokoEno               | Seeking Shield    | '18'      | 18    |
| YokoEno               | Royal Gem         | '18'      | 18    |
| YokoEno               | Earthquake Boots  | '17'      | 18    |
| YokoEno               | Hog Rider Puppet  | '18'      | 18    |
| YokoEno               | Vampstache        | '5'       | 18    |
| YokoEno               | Haste Vial        | '18'      | 18    |
| YokoEno               | Giant Arrow       | '17'      | 18    |
| YokoEno               | Healer Puppet     | '18'      | 18    |
| YokoEno               | Rage Gem          | '18'      | 18    |
| YokoEno               | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Little Roodie!        | Giant Gauntlet    | '27'      | 27    |
| Little Roodie!        | Rocket Spear      | '27'      | 27    |
| Little Roodie!        | Spiky Ball        | '27'      | 27    |
| Little Roodie!        | Frozen Arrow      | '27'      | 27    |
| Little Roodie!        | Magic Mirror      | '17'      | 27    |
| Little Roodie!        | Barbarian Puppet  | '18'      | 18    |
| Little Roodie!        | Rage Vial         | '18'      | 18    |
| Little Roodie!        | Archer Puppet     | '18'      | 18    |
| Little Roodie!        | Invisibility Vial | '18'      | 18    |
| Little Roodie!        | Eternal Tome      | '18'      | 18    |
| Little Roodie!        | Life Gem          | '18'      | 18    |
| Little Roodie!        | Seeking Shield    | '18'      | 18    |
| Little Roodie!        | Royal Gem         | '18'      | 18    |
| Little Roodie!        | Earthquake Boots  | '18'      | 18    |
| Little Roodie!        | Hog Rider Puppet  | '18'      | 18    |
| Little Roodie!        | Vampstache        | '5'       | 18    |
| Little Roodie!        | Haste Vial        | '18'      | 18    |
| Little Roodie!        | Giant Arrow       | '18'      | 18    |
| Little Roodie!        | Healer Puppet     | '18'      | 18    |
| Little Roodie!        | Rage Gem          | '18'      | 18    |
| Little Roodie!        | Healing Tome      | '18'      | 18    |
