CWL Season: April 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
babyacorns,18,4,4,75.0%,0.0%,0.0%,25.0%,2.25,75.0%
brocaleb,18,4,4,75.0%,0.0%,0.0%,25.0%,2.25,75.0%
CRASH,18,4,4,75.0%,0.0%,0.0%,25.0%,2.25,75.0%
rackam,18,2,2,50.0%,0.0%,50.0%,0.0%,2.0,97.0%
LLoh7,18,4,4,25.0%,50.0%,0.0%,25.0%,1.75,68.0%
Little Roodie!,18,4,4,50.0%,0.0%,0.0%,50.0%,1.5,50.0%
YokoEno,18,4,4,0.0%,75.0%,0.0%,25.0%,1.5,68.0%
!!Aristocrat!!,18,4,4,50.0%,0.0%,0.0%,50.0%,1.5,50.0%
alphaster17,18,3,3,0.0%,66.7%,0.0%,33.3%,1.33,51.3%
Roodies Raiders,18,4,4,25.0%,25.0%,0.0%,50.0%,1.25,49.0%
Brad,18,4,4,25.0%,25.0%,0.0%,50.0%,1.25,47.8%
Juliet,18,4,4,25.0%,25.0%,0.0%,50.0%,1.25,47.8%
Ryan,18,4,4,25.0%,25.0%,0.0%,50.0%,1.25,47.5%
Trumpy,18,4,4,0.0%,50.0%,0.0%,50.0%,1.0,46.3%
patrick,18,4,4,0.0%,50.0%,0.0%,50.0%,1.0,35.5%
MonseurMaiDra,18,3,3,0.0%,0.0%,33.3%,66.7%,0.33,29.7%

CWL Season: April 2026 - War Results
Opponent,Result,Our Stars,Their Stars,Our Destruction%,Their Destruction%,Team Size,Date
FIRE DRAGON,LOSS,36,42,94.9%,98.9%,15v15,04/03/2026
Ceifadores,LOSS,38,39,94.1%,97.5%,15v15,04/04/2026
Clan Imperial,IN_PROGRESS,15,24,36.0%,58.3%,15v15,04/06/2026
Die Recrewten,IN_PROGRESS,0,0,0.0%,0.0%,15v15,04/07/2026

CWL Season: April 2026 - Individual Attacks
War Opponent,Attacker,Attacker TH,Defender,Defender TH,Stars,Destruction%,Duration
FIRE DRAGON,rackam,18,Master,18,3,100.0%,1:49
FIRE DRAGON,brocaleb,18,FD-Boktor,18,3,100.0%,2:40
FIRE DRAGON,LLoh7,18,ChiefVegeta,18,3,100.0%,2:25
FIRE DRAGON,CRASH,18,Kyan,18,3,100.0%,2:35
FIRE DRAGON,patrick,18,KING Boomz,18,2,80.0%,2:50
FIRE DRAGON,babyacorns,18,FD - Dave,18,3,100.0%,2:09
FIRE DRAGON,YokoEno,18,ZAZA,18,2,97.0%,3:00
FIRE DRAGON,MonseurMaiDra,18,FD Duif,18,1,89.0%,2:47
FIRE DRAGON,Trumpy,18,Martin,18,2,90.0%,3:00
FIRE DRAGON,!!Aristocrat!!,18,Chelle66,18,3,100.0%,2:58
FIRE DRAGON,Little Roodie!,18,patatoes,18,3,100.0%,2:24
FIRE DRAGON,Roodies Raiders,18,FD-Gerrie,18,2,96.0%,2:43
FIRE DRAGON,Brad,18,KennethNL2,18,2,91.0%,3:00
FIRE DRAGON,Ryan,18,FD - Sieberto,18,2,90.0%,3:00
FIRE DRAGON,Juliet,18,MATS,18,2,91.0%,3:00
Ceifadores,rackam,18,Killer0014,18,1,94.0%,2:53
Ceifadores,babyacorns,18,Ádone,18,3,100.0%,1:40
Ceifadores,CRASH,18,jonatas,18,3,100.0%,2:19
Ceifadores,brocaleb,18,chepa_NG,18,3,100.0%,2:12
Ceifadores,alphaster17,18,謙虚なNiil,18,2,78.0%,2:30
Ceifadores,YokoEno,18,Montyer,18,2,89.0%,2:48
Ceifadores,LLoh7,18,andsoncsiquara,18,2,94.0%,3:00
Ceifadores,Trumpy,18,Meller,18,2,95.0%,3:00
Ceifadores,!!Aristocrat!!,18,Parça,18,3,100.0%,2:51
Ceifadores,Roodies Raiders,18,ASGARD,18,3,100.0%,2:34
Ceifadores,Little Roodie!,18,kratos,18,3,100.0%,2:22
Ceifadores,patrick,18,ISKANDAR,18,2,62.0%,2:17
Ceifadores,Ryan,18,SPAWN,18,3,100.0%,2:02
Ceifadores,Brad,18,Batisteleo,18,3,100.0%,1:46
Ceifadores,Juliet,18,SANDAUMM,18,3,100.0%,2:52
Clan Imperial,Ryan,18,Missed,0,0,0.0%,
Clan Imperial,Roodies Raiders,18,Missed,0,0,0.0%,
Clan Imperial,Little Roodie!,18,Missed,0,0,0.0%,
Clan Imperial,!!Aristocrat!!,18,Missed,0,0,0.0%,
Clan Imperial,patrick,18,Missed,0,0,0.0%,
Clan Imperial,MonseurMaiDra,18,Missed,0,0,0.0%,
Clan Imperial,Trumpy,18,Missed,0,0,0.0%,
Clan Imperial,Brad,18,Missed,0,0,0.0%,
Clan Imperial,Juliet,18,Missed,0,0,0.0%,
Clan Imperial,LLoh7,18,Zz,18,2,78.0%,2:05
Clan Imperial,CRASH,18,ＫＬ • ＥＮＺＯ,18,3,100.0%,2:45
Clan Imperial,babyacorns,18,『IMP』TeeLnDoo,18,3,100.0%,2:17
Clan Imperial,brocaleb,18,BO7RB,18,3,100.0%,2:26
Clan Imperial,alphaster17,18,『IMP』ABO QHT,18,2,76.0%,2:46
Clan Imperial,YokoEno,18,Mohammed,18,2,86.0%,3:00
Die Recrewten,Ryan,18,Missed,0,0,0.0%,
Die Recrewten,LLoh7,18,Missed,0,0,0.0%,
Die Recrewten,brocaleb,18,Missed,0,0,0.0%,
Die Recrewten,YokoEno,18,Missed,0,0,0.0%,
Die Recrewten,Little Roodie!,18,Missed,0,0,0.0%,
Die Recrewten,Roodies Raiders,18,Missed,0,0,0.0%,
Die Recrewten,!!Aristocrat!!,18,Missed,0,0,0.0%,
Die Recrewten,CRASH,18,Missed,0,0,0.0%,
Die Recrewten,MonseurMaiDra,18,Missed,0,0,0.0%,
Die Recrewten,patrick,18,Missed,0,0,0.0%,
Die Recrewten,babyacorns,18,Missed,0,0,0.0%,
Die Recrewten,Trumpy,18,Missed,0,0,0.0%,
Die Recrewten,Brad,18,Missed,0,0,0.0%,
Die Recrewten,alphaster17,18,Missed,0,0,0.0%,
Die Recrewten,Juliet,18,Missed,0,0,0.0%,
