CWL Season: June 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
Little Roodie!,18,16,16,93.8%,0.0%,0.0%,6.2%,2.81,93.8%
brocaleb,18,16,16,87.5%,6.2%,0.0%,6.2%,2.75,93.3%
rackam,18,14,14,85.7%,7.1%,0.0%,7.1%,2.71,92.4%
MonseurMaiDra,18,15,15,80.0%,13.3%,0.0%,6.7%,2.67,91.3%
joshu,18,14,14,71.4%,21.4%,0.0%,7.1%,2.57,89.8%
Brad,18,16,16,81.2%,6.2%,0.0%,12.5%,2.56,86.6%
Juliet,18,10,10,60.0%,30.0%,10.0%,0.0%,2.5,93.8%
ben,18,16,16,75.0%,12.5%,0.0%,12.5%,2.5,87.0%
YokoEno,18,14,14,64.3%,28.6%,0.0%,7.1%,2.5,87.7%
babyacorns,18,15,15,73.3%,13.3%,0.0%,13.3%,2.47,84.7%
Roodies Raiders,18,15,15,66.7%,20.0%,0.0%,13.3%,2.4,83.1%
alphaster17,18,10,10,40.0%,60.0%,0.0%,0.0%,2.4,93.5%
CRASH,18,14,14,50.0%,42.9%,0.0%,7.1%,2.36,88.4%
jay,18,14,14,57.1%,28.6%,0.0%,14.3%,2.29,80.4%
kat,18,14,14,57.1%,28.6%,0.0%,14.3%,2.29,81.7%
LLoh7,18,13,13,53.8%,30.8%,0.0%,15.4%,2.23,80.4%
Ryan,18,14,14,42.9%,42.9%,0.0%,14.3%,2.14,80.3%

CWL Season: June 2026 - War Results
Opponent,Result,Our Stars,Their Stars,Our Destruction%,Their Destruction%,Team Size,Date
PALADINOS,WIN,39,37,94.7%,93.5%,15v15,06/04/2026
kranti 2,LOSS,39,41,95.4%,94.9%,15v15,06/05/2026
Sudan B.Knights,WIN,42,33,97.0%,82.3%,15v15,06/06/2026
Da Corner Hutz,LOSS,41,42,96.5%,96.1%,15v15,06/07/2026
Son of a Witch!,WIN,44,43,98.9%,99.3%,15v15,06/08/2026
kings,WIN,42,42,98.7%,98.3%,15v15,06/09/2026
✨KURDSTAN✨,WIN,42,35,97.4%,88.7%,15v15,06/10/2026
master,LOSS,39,43,94.5%,99.5%,15v15,06/19/2026
Latin Power,LOSS,21,23,46.7%,52.4%,15v15,06/20/2026
Latin Power,WIN,43,38,98.5%,90.0%,15v15,06/20/2026
كلان الورد,TIE,0,0,0.0%,0.0%,15v15,06/21/2026
كلان الورد,LOSS,40,40,98.3%,99.1%,15v15,06/21/2026
آودان مهاباد,LOSS,41,42,92.9%,98.3%,15v15,06/22/2026
TØURØS NEGRØS,LOSS,42,42,96.0%,96.7%,15v15,06/23/2026
الصحاب وبس,WIN,41,36,96.7%,94.9%,15v15,06/24/2026
Lil Truko Elite,IN_PROGRESS,41,34,97.0%,78.3%,15v15,06/25/2026

CWL Season: June 2026 - Individual Attacks
War Opponent,Attacker,Attacker TH,Defender,Defender TH,Stars,Destruction%,Duration
PALADINOS,Ryan,18,ㄥ.匚 I,18,2,90.0%,1:58
PALADINOS,joshu,18,frankwill,18,2,82.0%,2:52
PALADINOS,MonseurMaiDra,18,Leandro - rr,18,3,100.0%,2:41
PALADINOS,rackam,18,pao,18,3,100.0%,2:17
PALADINOS,ben,18,INT⚡️ᴬⁿᵈᵉʳˢᵒⁿ,18,2,95.0%,3:00
PALADINOS,LLoh7,18,INT⚡Lili,18,2,90.0%,2:33
PALADINOS,babyacorns,18,LORD RODRIGO,18,3,100.0%,1:48
PALADINOS,jay,18,KLAUS,18,3,100.0%,2:10
PALADINOS,kat,18,INT⚡Tadashi Sr,18,3,100.0%,2:06
PALADINOS,brocaleb,18,Raparigueiro,18,3,100.0%,2:12
PALADINOS,CRASH,18,INT⚡️CÁSSIO,18,2,93.0%,3:00
PALADINOS,YokoEno,18,dispomam,18,3,100.0%,2:29
PALADINOS,Little Roodie!,18,INT⚡️LUAN |,18,3,100.0%,1:48
PALADINOS,Roodies Raiders,18,Eli,18,2,70.0%,1:47
PALADINOS,Brad,18,MTS* É O TREEM,18,3,100.0%,2:37
kranti 2,rackam,18,sheabeaux,18,3,100.0%,1:34
kranti 2,Juliet,18,iLose,16,3,100.0%,1:49
kranti 2,brocaleb,18,Omen™,18,2,92.0%,3:00
kranti 2,ben,18,CroNoZ,18,3,100.0%,2:13
kranti 2,alphaster17,18,Jacky4241,18,2,98.0%,3:00
kranti 2,jay,18,༂ༀ A7medᴳᵒᵈ ༀ༂,18,2,73.0%,1:43
kranti 2,kat,18,dark LORD TJ',18,3,100.0%,2:32
kranti 2,MonseurMaiDra,18,Liverpool rock6,18,3,100.0%,2:20
kranti 2,YokoEno,18,Chris,18,2,90.0%,2:59
kranti 2,Brad,18,The BEAST,18,3,100.0%,2:04
kranti 2,Little Roodie!,18,Laura,18,3,100.0%,1:24
kranti 2,babyacorns,18,nathan,18,3,100.0%,2:32
kranti 2,Ryan,18,Tahsin_BabaYaga,18,2,83.0%,2:06
kranti 2,LLoh7,18,KordellClash,18,3,100.0%,1:59
kranti 2,CRASH,18,Jitens99,18,2,95.0%,3:00
Sudan B.Knights,babyacorns,18,Vip,18,3,100.0%,1:53
Sudan B.Knights,brocaleb,18,sherko,18,3,100.0%,2:40
Sudan B.Knights,alphaster17,18,Mandila ♛ ᴹᵃˣ,18,3,100.0%,2:58
Sudan B.Knights,LLoh7,18,Wael ♛ ᴹᵃˣ,18,2,87.0%,1:44
Sudan B.Knights,joshu,18,Mæ♥️ŗbeła ♛ ᴹᵃˣ,18,3,100.0%,2:25
Sudan B.Knights,YokoEno,18,MAD,18,3,100.0%,2:05
Sudan B.Knights,MonseurMaiDra,18,O M A R Osman ♛,18,3,100.0%,2:33
Sudan B.Knights,kat,18,『MR』๛ LEGEND ✨,18,2,79.0%,2:32
Sudan B.Knights,Brad,18,الليث ♛ ᴹᵃˣ,18,3,100.0%,1:47
Sudan B.Knights,rackam,18,1U٭Aboud乄,18,3,100.0%,1:34
Sudan B.Knights,Juliet,18,عَديـﮯ الأميـﮯر,18,2,89.0%,3:00
Sudan B.Knights,Roodies Raiders,18,м̃̾ṱ♣️⚡ấĺм̃̾ấŝấ,18,3,100.0%,2:11
Sudan B.Knights,Little Roodie!,18,yşøöry Alböşş,18,3,100.0%,2:01
Sudan B.Knights,ben,18,مونكي دي لوفي,18,3,100.0%,2:04
Sudan B.Knights,CRASH,18,lastfiddler,18,3,100.0%,2:22
Da Corner Hutz,babyacorns,18,SR☣PŘIÑČË ✨,18,3,100.0%,1:55
Da Corner Hutz,jay,18,Alexa,18,3,100.0%,2:04
Da Corner Hutz,MonseurMaiDra,18,+tTrOoPbEnDeR *,18,3,100.0%,2:43
Da Corner Hutz,joshu,18,Da Bogeyman,18,2,88.0%,2:51
Da Corner Hutz,YokoEno,18,fire,18,2,89.0%,3:00
Da Corner Hutz,alphaster17,18,swimswimmer,18,3,100.0%,2:05
