CWL Season: July 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
joshu,18,7,7,100.0%,0.0%,0.0%,0.0%,3.0,100.0%
ben,18,1,1,100.0%,0.0%,0.0%,0.0%,3.0,100.0%
kat,18,7,7,100.0%,0.0%,0.0%,0.0%,3.0,100.0%
jay,18,7,7,85.7%,14.3%,0.0%,0.0%,2.86,96.7%
YokoEno,18,7,7,85.7%,14.3%,0.0%,0.0%,2.86,99.9%
rackam,18,7,7,85.7%,14.3%,0.0%,0.0%,2.86,98.6%
LLoh7,18,7,7,71.4%,28.6%,0.0%,0.0%,2.71,90.9%
MonseurMaiDra,18,7,7,71.4%,28.6%,0.0%,0.0%,2.71,93.7%
Roodies Raiders,18,7,7,85.7%,0.0%,0.0%,14.3%,2.57,85.7%
Juliet,18,7,7,85.7%,0.0%,0.0%,14.3%,2.57,85.7%
brocaleb,18,7,7,85.7%,0.0%,0.0%,14.3%,2.57,85.7%
Brad,18,7,7,71.4%,14.3%,0.0%,14.3%,2.43,84.4%
Little Roodie!,18,7,7,71.4%,14.3%,0.0%,14.3%,2.43,85.3%
alphaster17,18,5,5,60.0%,20.0%,0.0%,20.0%,2.2,78.4%
CRASH,18,7,7,14.3%,71.4%,0.0%,14.3%,1.86,76.1%
Ryan,18,7,7,28.6%,28.6%,14.3%,28.6%,1.57,67.3%
babyacorns,18,1,1,0.0%,0.0%,0.0%,100.0%,0.0,0.0%

CWL Season: July 2026 - War Results
Opponent,Result,Our Stars,Their Stars,Our Destruction%,Their Destruction%,Team Size,Date
MAKINISTA V2. O,WIN,42,41,96.9%,96.5%,15v15,07/04/2026
loyalty,LOSS,38,40,91.0%,96.7%,15v15,07/05/2026
"""WELL DONE""",LOSS,36,38,82.9%,91.7%,15v15,07/06/2026
⚔️الاردن⭐اولا⚔️,WIN,45,36,100.0%,89.9%,15v15,07/07/2026
CAN U BEAT US,WIN,42,41,96.8%,98.5%,15v15,07/08/2026
El-classico,LOSS,42,43,98.3%,98.8%,15v15,07/09/2026
XT,IN_PROGRESS,21,30,50.3%,72.3%,15v15,07/10/2026

CWL Season: July 2026 - Individual Attacks
War Opponent,Attacker,Attacker TH,Defender,Defender TH,Stars,Destruction%,Duration
MAKINISTA V2. O,joshu,18,Jeff #25,18,3,100.0%,2:20
MAKINISTA V2. O,brocaleb,18,Lord Glen,18,3,100.0%,1:59
MAKINISTA V2. O,jay,18,I'M HANDSOME,18,3,100.0%,1:37
MAKINISTA V2. O,YokoEno,18,☆☆☆<<LeMy>>☆☆☆,18,3,100.0%,2:46
MAKINISTA V2. O,kat,18,minecraft 2,18,3,100.0%,1:56
MAKINISTA V2. O,rackam,18,aiUsHTha_28,18,3,100.0%,2:21
MAKINISTA V2. O,LLoh7,18,Lord Daemon,18,3,100.0%,1:35
MAKINISTA V2. O,MonseurMaiDra,18,☆Engr.EGM☆I☆,18,2,85.0%,2:50
MAKINISTA V2. O,ben,18,s1432,18,3,100.0%,2:55
MAKINISTA V2. O,CRASH,18,MAXZONE,18,2,69.0%,2:52
MAKINISTA V2. O,Roodies Raiders,18,jeffshy25,18,3,100.0%,1:58
MAKINISTA V2. O,Little Roodie!,18,athan,18,3,100.0%,1:47
MAKINISTA V2. O,Brad,18,jeff#0625,18,3,100.0%,2:16
MAKINISTA V2. O,Ryan,18,Iron Man 23,18,2,99.0%,3:00
MAKINISTA V2. O,Juliet,18,Lord Vader,18,3,100.0%,1:47
loyalty,alphaster17,18,Missed,0,0,0.0%,
