CWL Season: August 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
joshu,18,8,8,62.5%,12.5%,0.0%,25.0%,2.13,74.9%
LLoh7,18,8,8,37.5%,37.5%,0.0%,25.0%,1.88,70.6%
kat,18,8,8,50.0%,12.5%,0.0%,37.5%,1.75,61.6%
Brad,18,8,8,50.0%,0.0%,0.0%,50.0%,1.5,50.0%
YokoEno,18,8,8,50.0%,0.0%,0.0%,50.0%,1.5,50.0%
MonseurMaiDra,18,8,8,37.5%,12.5%,12.5%,37.5%,1.5,57.3%
rackam,18,2,2,50.0%,0.0%,0.0%,50.0%,1.5,50.0%
jay,18,8,8,37.5%,12.5%,0.0%,50.0%,1.38,46.5%
Little Roodie!,18,8,8,37.5%,12.5%,0.0%,50.0%,1.38,49.1%
alphaster17,18,8,8,37.5%,12.5%,0.0%,50.0%,1.38,48.9%
ben,18,8,8,37.5%,12.5%,0.0%,50.0%,1.38,49.1%
brocaleb,18,8,8,37.5%,12.5%,0.0%,50.0%,1.38,49.9%
Roodies Raiders,18,8,8,25.0%,25.0%,0.0%,50.0%,1.25,48.0%
CRASH,18,7,7,28.6%,14.3%,0.0%,57.1%,1.14,42.6%
Juliet,18,7,7,14.3%,28.6%,0.0%,57.1%,1.0,39.4%
Ryan,18,8,8,0.0%,25.0%,0.0%,75.0%,0.5,23.8%

CWL Season: August 2026 - War Results
Opponent,Result,Our Stars,Their Stars,Our Destruction%,Their Destruction%,Team Size,Date
✌️ابطال الحروب✌,LOSS,37,43,89.9%,98.9%,15v15,08/03/2026
NEW cLaN,WIN,40,39,96.1%,94.1%,15v15,08/04/2026
⭐️SPARTA CWL⭐️,WIN,43,35,99.4%,87.4%,15v15,08/05/2026
MB WAR LEAGUE,LOSS,5,20,12.6%,52.1%,15v15,08/06/2026
MB WAR LEAGUE,LOSS,33,39,82.7%,96.6%,15v15,08/07/2026
Active City 2.0,IN_PROGRESS,0,0,0.0%,0.0%,15v15,08/08/2026
Active City 2.0,IN_PROGRESS,11,11,26.6%,25.9%,15v15,08/08/2026
Anti Aircraft,IN_PROGRESS,0,0,0.0%,0.0%,15v15,08/09/2026

CWL Season: August 2026 - Individual Attacks
War Opponent,Attacker,Attacker TH,Defender,Defender TH,Stars,Destruction%,Duration
✌️ابطال الحروب✌,Ryan,18,Missed,0,0,0.0%,
✌️ابطال الحروب✌,LLoh7,18,Ａｒｔｈｕｒ,18,3,100.0%,2:08
✌️ابطال الحروب✌,joshu,18,ᏔƬⴼ.ẵ♭บ ẵլγẵş,18,3,100.0%,2:31
✌️ابطال الحروب✌,jay,18,•بـــرلـيـن•⚡♕,18,3,100.0%,1:43
✌️ابطال الحروب✌,kat,18,Tarek,18,3,100.0%,1:56
✌️ابطال الحروب✌,YokoEno,18,♕YS☆★مہـلآڪ✧™,18,3,100.0%,2:13
✌️ابطال الحروب✌,rackam,18,RS:NeXT★YOU»2™,18,3,100.0%,2:18
✌️ابطال الحروب✌,brocaleb,18,ὠτℏ.şẵլεℏ,18,3,100.0%,1:54
✌️ابطال الحروب✌,MonseurMaiDra,18,『DT』๛ GEneRaL™,18,1,82.0%,2:56
✌️ابطال الحروب✌,alphaster17,18,ωєℓcσмє τσ нєℓℓ,18,3,100.0%,2:29
✌️ابطال الحروب✌,Roodies Raiders,18,✌️طنآخةة⇢يماني✌,18,2,94.0%,2:20
✌️ابطال الحروب✌,Little Roodie!,18,⚡​⚔Pikachu⚔⚡,18,3,100.0%,2:00
✌️ابطال الحروب✌,Brad,18,⚡بَيڪاتشُوُ⚡❤,18,3,100.0%,2:01
✌️ابطال الحروب✌,ben,18,꧁ᏔƬⴼ.źΦΦм꧂,18,2,93.0%,3:00
✌️ابطال الحروب✌,Juliet,18,-DANGER,18,2,80.0%,1:41
NEW cLaN,joshu,18,Tellyhammer,18,3,100.0%,2:16
NEW cLaN,LLoh7,18,French Fries,18,2,87.0%,2:12
NEW cLaN,kat,18,Desolated Gamer,18,3,100.0%,1:31
NEW cLaN,alphaster17,18,Don Quixote,18,2,91.0%,3:00
NEW cLaN,jay,18,txscrub79,18,3,100.0%,1:56
NEW cLaN,brocaleb,18,strange_MajicXX,18,3,100.0%,2:13
