CWL Season: September 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
Ryan,18,2,2,100.0%,0.0%,0.0%,0.0%,3.0,100.0%
RAMBO,18,5,5,60.0%,20.0%,0.0%,20.0%,2.2,73.8%
joshu,18,10,10,70.0%,0.0%,0.0%,30.0%,2.1,70.0%
brocaleb,18,10,10,70.0%,0.0%,0.0%,30.0%,2.1,70.0%
lloh8,18,9,9,66.7%,0.0%,0.0%,33.3%,2.0,66.7%
MonseurMaiDra,18,10,10,60.0%,10.0%,0.0%,30.0%,2.0,69.6%
rackam,18,10,10,60.0%,10.0%,0.0%,30.0%,2.0,67.7%
YokoEno,18,10,10,60.0%,0.0%,10.0%,30.0%,1.9,69.7%
jay,18,10,10,60.0%,0.0%,0.0%,40.0%,1.8,60.0%
LLoh7,18,9,9,33.3%,33.3%,11.1%,22.2%,1.78,73.4%
alphaster17,18,10,10,50.0%,10.0%,0.0%,40.0%,1.7,59.3%
Juliet,18,5,5,40.0%,20.0%,0.0%,40.0%,1.6,55.8%
kat,18,9,9,33.3%,22.2%,0.0%,44.4%,1.44,52.8%
CRASH,18,10,10,40.0%,10.0%,0.0%,50.0%,1.4,49.3%
Roodies Raiders,18,9,9,33.3%,11.1%,0.0%,55.6%,1.22,42.0%
Brad,18,9,9,33.3%,0.0%,11.1%,55.6%,1.11,40.9%
Little Roodie!,18,9,9,22.2%,22.2%,0.0%,55.6%,1.11,41.9%
ben,18,4,4,0.0%,50.0%,0.0%,50.0%,1.0,41.0%

CWL Season: September 2026 - War Results
Opponent,Result,Our Stars,Their Stars,Our Destruction%,Their Destruction%,Team Size,Date
Liga dos Noobs,TIE,0,0,0.0%,0.0%,15v15,09/03/2026
Liga dos Noobs,WIN,22,19,51.7%,48.2%,15v15,09/03/2026
Liga dos Noobs,WIN,42,39,97.1%,94.1%,15v15,09/03/2026
CROWN,TIE,0,0,0.0%,0.0%,15v15,09/04/2026
CROWN,WIN,45,0,100.0%,0.0%,15v15,09/04/2026
جيش سليمان,LOSS,40,44,95.5%,99.8%,15v15,09/06/2026
ROGWar,WIN,39,38,95.8%,97.7%,15v15,09/07/2026
natty sound,WIN,43,40,96.4%,96.7%,15v15,09/08/2026
TÜRK SANCAĞI,IN_PROGRESS,26,31,65.3%,77.3%,15v15,09/09/2026
الكاسر,IN_PROGRESS,0,0,0.0%,0.0%,15v15,09/10/2026

CWL Season: September 2026 - Individual Attacks
War Opponent,Attacker,Attacker TH,Defender,Defender TH,Stars,Destruction%,Duration
Liga dos Noobs,LLoh7,18,Missed,0,0,0.0%,
Liga dos Noobs,brocaleb,18,Missed,0,0,0.0%,
Liga dos Noobs,YokoEno,18,Missed,0,0,0.0%,
Liga dos Noobs,Roodies Raiders,18,Missed,0,0,0.0%,
Liga dos Noobs,Little Roodie!,18,Missed,0,0,0.0%,
Liga dos Noobs,ben,18,Missed,0,0,0.0%,
Liga dos Noobs,rackam,18,Missed,0,0,0.0%,
Liga dos Noobs,kat,18,Missed,0,0,0.0%,
Liga dos Noobs,jay,18,Missed,0,0,0.0%,
Liga dos Noobs,joshu,18,Missed,0,0,0.0%,
Liga dos Noobs,Brad,18,Missed,0,0,0.0%,
Liga dos Noobs,alphaster17,18,Missed,0,0,0.0%,
Liga dos Noobs,MonseurMaiDra,18,Missed,0,0,0.0%,
Liga dos Noobs,lloh8,18,Missed,0,0,0.0%,
Liga dos Noobs,CRASH,18,Missed,0,0,0.0%,
Liga dos Noobs,Roodies Raiders,18,Missed,0,0,0.0%,
Liga dos Noobs,Little Roodie!,18,Missed,0,0,0.0%,
Liga dos Noobs,kat,18,Missed,0,0,0.0%,
Liga dos Noobs,jay,18,Missed,0,0,0.0%,
Liga dos Noobs,Brad,18,Missed,0,0,0.0%,
Liga dos Noobs,alphaster17,18,Missed,0,0,0.0%,
Liga dos Noobs,CRASH,18,Missed,0,0,0.0%,
Liga dos Noobs,joshu,18,Kevin,18,3,100.0%,1:55
Liga dos Noobs,rackam,18,Galuguf,18,3,100.0%,2:07
Liga dos Noobs,lloh8,18,Miguel Carmo,18,3,100.0%,1:54
Liga dos Noobs,LLoh7,18,Sergio Carmo,18,2,93.0%,1:48
Liga dos Noobs,MonseurMaiDra,18,GAS,18,3,100.0%,1:31
Liga dos Noobs,ben,18,Krueger,18,2,82.0%,2:59
Liga dos Noobs,YokoEno,18,H O L N E S S,18,3,100.0%,2:08
Liga dos Noobs,brocaleb,18,Papai Noel,18,3,100.0%,1:47
Liga dos Noobs,joshu,18,Kevin,18,3,100.0%,1:55
Liga dos Noobs,rackam,18,Galuguf,18,3,100.0%,2:07
Liga dos Noobs,lloh8,18,Miguel Carmo,18,3,100.0%,1:54
Liga dos Noobs,LLoh7,18,Sergio Carmo,18,2,93.0%,1:48
Liga dos Noobs,MonseurMaiDra,18,GAS,18,3,100.0%,1:31
Liga dos Noobs,ben,18,Krueger,18,2,82.0%,2:59
Liga dos Noobs,YokoEno,18,H O L N E S S,18,3,100.0%,2:08
Liga dos Noobs,brocaleb,18,Papai Noel,18,3,100.0%,1:47
Liga dos Noobs,alphaster17,18,CAND,18,3,100.0%,2:18
Liga dos Noobs,Roodies Raiders,18,¥ODIN¥,18,3,100.0%,1:45
Liga dos Noobs,Little Roodie!,18,Lucas08,18,3,100.0%,1:53
Liga dos Noobs,jay,18,Loki06,18,3,100.0%,1:51
Liga dos Noobs,kat,18,Ermac,18,2,82.0%,1:54
Liga dos Noobs,Brad,18,◇Caio♤Caçador◇,18,3,100.0%,2:29
Liga dos Noobs,CRASH,18,MrGoingMerry,18,3,100.0%,2:40
CROWN,LLoh7,18,Missed,0,0,0.0%,
CROWN,brocaleb,18,Missed,0,0,0.0%,
CROWN,YokoEno,18,Missed,0,0,0.0%,
CROWN,Roodies Raiders,18,Missed,0,0,0.0%,
CROWN,Little Roodie!,18,Missed,0,0,0.0%,
CROWN,ben,18,Missed,0,0,0.0%,
CROWN,rackam,18,Missed,0,0,0.0%,
CROWN,kat,18,Missed,0,0,0.0%,
CROWN,jay,18,Missed,0,0,0.0%,
CROWN,joshu,18,Missed,0,0,0.0%,
CROWN,Brad,18,Missed,0,0,0.0%,
CROWN,alphaster17,18,Missed,0,0,0.0%,
CROWN,MonseurMaiDra,18,Missed,0,0,0.0%,
CROWN,lloh8,18,Missed,0,0,0.0%,
CROWN,CRASH,18,Missed,0,0,0.0%,
CROWN,rackam,18,sanpadu3,18,3,100.0%,2:21
CROWN,jay,18,NYI NYI 3,18,3,100.0%,1:50
CROWN,joshu,18,shin hone,18,3,100.0%,2:02
CROWN,lloh8,18,hero (P),18,3,100.0%,1:40
CROWN,LLoh7,18,NYI NYI 2,18,3,100.0%,1:45
CROWN,brocaleb,18,bugiwan,18,3,100.0%,1:25
CROWN,RAMBO,18,keke,18,3,100.0%,1:25
CROWN,MonseurMaiDra,18,king ghost,18,3,100.0%,1:48
CROWN,YokoEno,18,sanpadu2,18,3,100.0%,2:00
CROWN,alphaster17,18,CR7,18,3,100.0%,2:43
CROWN,Roodies Raiders,18,NYI NYI 4,18,3,100.0%,1:47
CROWN,Brad,18,Mg Lay,18,3,100.0%,2:15
CROWN,Little Roodie!,18,CR72,18,3,100.0%,1:48
CROWN,CRASH,18,Mg Lay 3,18,3,100.0%,2:33
CROWN,Juliet,18,Mg Lay 2,18,3,100.0%,1:39
جيش سليمان,rackam,18,☆♡HonorOfWar♡☆,18,3,100.0%,2:52
جيش سليمان,joshu,18,the punsher,18,3,100.0%,1:38
جيش سليمان,RAMBO,18,Mahmoud Tamimi,18,3,100.0%,1:34
جيش سليمان,LLoh7,18,☆♡QueenOfClan♡☆,18,3,100.0%,2:53
جيش سليمان,alphaster17,18,☆♡StormOfWar♡☆,18,3,100.0%,2:11
جيش سليمان,Juliet,18,☆♡LordOfWar♡☆,18,3,100.0%,1:48
جيش سليمان,brocaleb,18,☆♡KingOfWar♡☆,18,3,100.0%,1:39
جيش سليمان,YokoEno,18,★♥PrincessWar♥★,18,3,100.0%,1:44
جيش سليمان,jay,18,اسطوره الظلام,18,3,100.0%,1:44
جيش سليمان,kat,18,☆♡CaesarWar♡☆,18,3,100.0%,1:59
جيش سليمان,Little Roodie!,18,☆♡QueenOfWar♡☆,18,2,91.0%,2:04
جيش سليمان,Roodies Raiders,18,☆♡GodOfWar♡☆,18,2,78.0%,1:54
جيش سليمان,Brad,18,☆♡PrinceOfWar♡☆,18,1,68.0%,1:43
جيش سليمان,CRASH,18,♥️QueenSun♥️,18,3,100.0%,2:37
جيش سليمان,MonseurMaiDra,18,☆♡QueenHeart♡☆,18,2,96.0%,2:14
ROGWar,rackam,18,clash of beste,18,3,100.0%,2:52
ROGWar,RAMBO,18,Happy Deathday,18,3,100.0%,1:51
ROGWar,lloh8,18,Pixelpanda,18,3,100.0%,2:07
ROGWar,LLoh7,18,Felix,18,2,93.0%,3:00
ROGWar,joshu,18,Lenny,18,3,100.0%,1:48
ROGWar,alphaster17,18,Wütender Walter,18,2,93.0%,2:59
ROGWar,brocaleb,18,maxo,18,3,100.0%,2:40
ROGWar,YokoEno,18,Happy Deathday,18,3,100.0%,2:07
ROGWar,jay,18,shredow,18,3,100.0%,2:36
ROGWar,kat,18,Stranger,18,2,93.0%,2:31
ROGWar,CRASH,18,Tikaani,18,2,93.0%,3:00
ROGWar,Little Roodie!,18,sascha,18,2,86.0%,2:14
ROGWar,Ryan,18,Cram,18,3,100.0%,1:44
ROGWar,Juliet,18,NNIF,18,2,79.0%,1:55
ROGWar,MonseurMaiDra,18,Kabin,18,3,100.0%,2:04
natty sound,rackam,18,owitapemoa,18,2,77.0%,2:32
natty sound,joshu,18,Tito,18,3,100.0%,1:36
natty sound,alphaster17,18,k7,18,3,100.0%,2:04
natty sound,jay,18,Askiller,18,3,100.0%,2:28
natty sound,kat,18,mini k7,18,3,100.0%,2:11
natty sound,YokoEno,18,MCloulou,18,3,100.0%,2:05
natty sound,brocaleb,18,Alex Sunrise,18,3,100.0%,2:09
natty sound,lloh8,18,jim le fou,18,3,100.0%,1:32
natty sound,MonseurMaiDra,18,Nono,18,3,100.0%,2:00
natty sound,RAMBO,18,natty coco,18,2,69.0%,3:00
natty sound,LLoh7,18,steu,18,3,100.0%,2:08
natty sound,CRASH,18,roro,18,3,100.0%,2:18
natty sound,Roodies Raiders,18,Lichamax,18,3,100.0%,1:45
natty sound,Ryan,18,owdav,18,3,100.0%,1:51
natty sound,Brad,18,Libertek,18,3,100.0%,2:48
TÜRK SANCAĞI,Roodies Raiders,18,Missed,0,0,0.0%,
TÜRK SANCAĞI,Little Roodie!,18,Missed,0,0,0.0%,
TÜRK SANCAĞI,Brad,18,Missed,0,0,0.0%,
TÜRK SANCAĞI,CRASH,18,Missed,0,0,0.0%,
TÜRK SANCAĞI,Juliet,18,Missed,0,0,0.0%,
TÜRK SANCAĞI,LLoh7,18,ABDULLAH,18,1,82.0%,2:20
TÜRK SANCAĞI,kat,18,MuratÇimen,18,3,100.0%,1:41
TÜRK SANCAĞI,jay,18,Yandım ALİ,18,3,100.0%,1:54
TÜRK SANCAĞI,alphaster17,18,No Mercy,18,3,100.0%,2:12
TÜRK SANCAĞI,lloh8,18,Serkan gdk,18,3,100.0%,1:24
TÜRK SANCAĞI,brocaleb,18,AKŞEMSETTİN,18,3,100.0%,2:15
TÜRK SANCAĞI,YokoEno,18,KÜRŞAT,18,1,97.0%,2:52
TÜRK SANCAĞI,joshu,18,SCORPION,18,3,100.0%,2:11
TÜRK SANCAĞI,MonseurMaiDra,18,⚡⚡H. M. R. C⚡⚡,18,3,100.0%,1:52
TÜRK SANCAĞI,rackam,18,kürşat,18,3,100.0%,2:55
الكاسر,Roodies Raiders,18,Missed,0,0,0.0%,
الكاسر,Little Roodie!,18,Missed,0,0,0.0%,
الكاسر,YokoEno,18,Missed,0,0,0.0%,
الكاسر,brocaleb,18,Missed,0,0,0.0%,
الكاسر,rackam,18,Missed,0,0,0.0%,
الكاسر,jay,18,Missed,0,0,0.0%,
الكاسر,kat,18,Missed,0,0,0.0%,
الكاسر,joshu,18,Missed,0,0,0.0%,
الكاسر,Brad,18,Missed,0,0,0.0%,
الكاسر,alphaster17,18,Missed,0,0,0.0%,
الكاسر,lloh8,18,Missed,0,0,0.0%,
الكاسر,MonseurMaiDra,18,Missed,0,0,0.0%,
الكاسر,CRASH,18,Missed,0,0,0.0%,
الكاسر,Juliet,18,Missed,0,0,0.0%,
الكاسر,RAMBO,18,Missed,0,0,0.0%,
